SYS_NAME,COLLECTTIME,CWXT_DB|?|184|C:\,CWXT_DB|?|184|D:\
财务管理系统,41913,34270787.33,80262592.65
财务管理系统,41914,34328899.02,83200151.65
财务管理系统,41915,34327553.5,83208320
财务管理系统,41916,34288672.21,83099271.65
财务管理系统,41917,34190978.41,82765171.65
财务管理系统,41918,34187614.43,82522895
财务管理系统,41919,34285280.22,82590885
财务管理系统,41920,34290578.41,82368173.3
财务管理系统,41921,33211870.4,82172263.3
财务管理系统,41922,33249253.87,81922685
财务管理系统,41923,33253832.53,84844722.95
财务管理系统,41924,34328058.03,84769868.9
财务管理系统,41925,34328674.8,84558703.4
财务管理系统,41926,34234933.61,84207166.8
财务管理系统,41927,34022726.41,84042911.9
财务管理系统,41928,35016309.47,84129516.15
财务管理系统,41929,34981412.82,83877754.85
财务管理系统,41930,34828871.38,83887520.4
财务管理系统,41931,34832868.75,83538509.75
财务管理系统,41932,34843372.75,86483653
财务管理系统,41933,34847749.42,82496743.3
财务管理系统,41934,34829775.93,82300356.65
财务管理系统,41935,34824290.49,82130251.65
财务管理系统,41936,34827149.93,84844587.65
财务管理系统,41937,34820088.89,84845444.65
财务管理系统,41938,34776030.47,84684911.05
财务管理系统,41939,34667722.51,84500606.35
财务管理系统,41940,35705011.09,84145461.25
财务管理系统,41941,35594215.37,84172525.1
财务管理系统,41942,35411287.07,83957818.7
财务管理系统,41943,35389055.02,83684789.75
财务管理系统,41944,35385076.36,86485366.95
财务管理系统,41945,35462038.02,86454023.45
财务管理系统,41946,35486821.33,86127041.7
财务管理系统,41947,35471088.77,86161390.4
财务管理系统,41948,35547564.55,85938933.9
财务管理系统,41949,35606941.11,85645056.5
财务管理系统,41950,35546714.13,85272926.05
财务管理系统,41951,35510966.73,88110097.75
财务管理系统,41952,35491498.51,88128626.65
财务管理系统,41953,35601990.55,88075997.75
财务管理系统,41954,35687972.6,87753526.65
财务管理系统,41955,35704312.58,87249335.55
财务管理系统,41956,35704980.73,86986142.2
财务管理系统,41957,34570385.45,86678240
财务管理系统,41958,34673820.69,89766600
财务管理系统,41959,34793245.31,89377527.25
